id,serie,n,album,,pages
,17,17,L'orchidée des Chahutas,2004,
,17,18,Robinson Academy,2005,
,17,19,Magie Blanche,2006,
,17,20,Viva Palombia !,2007,
,17,21,Red monster,2008,
,17,22,Chiquito paradiso,2009,
,17,23,Croc vert,2010,
,17,24,Opération Attila,2011,
,17,25,Sur la piste du Marsupilami,2012,
,17,26,Santa Calamidad,2012,
,17,27,Cœur d'étoile,2013,
,17,28,Biba,2014,
,17,29,Quilzèmhoal,2015,
,17,30,Palombie secrète,2017,
,17,31,Monsieur Xing Yùn,2018,
,17,32,Bienvenido a Bingo !,2019,
,17,33,Supermarsu,2021,
,18,1,La mascotte,1987,
,18,2,Le parrain,1988,
,18,3,Rantanplan otage,1992,
,18,4,Le clown,1993,
,18,5,Bêtisier 1,1993,
,18,6,Bêtisier 2,1993,
,18,7,Le Fugitif,1994,
,18,8,Bêtisier 3,1995,
,18,9,Le messager,1995,
,18,10,Les cerveaux,1996,
,18,11,Le chameau,1997,
,18,12,Bêtisier 4,1998,
,18,13,Le grand voyage,1998,
,18,14,Bêtisier 5,2000,
,18,15,La belle et le bête,2000,
,18,16,Le Noël de Rantanplan,2001,
,18,17,Sur le pied de guerre,2008,
,18,18,Chien d'arrêt,2009,
,18,19,Morts de rire,2010,
,18,20,Carré d'os,2011,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
