"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
475,877,"9780060854942",2007-03-13,408,,eng,
476,873,"9780060855901",2005-09-13,228,,eng,
477,864,"9780060855925",2005-09-13,228,,eng,
478,873,"9780060856267",2006-04-04,238,,eng,
479,426,"9780060859626",2006-08-30,56,,en-US,
480,907,"9780060872793",2006-10-31,400,,en-US,
481,864,"9780060872984",2006-11-28,431,,eng,
482,906,"9780060874308",2006-12-26,268,,eng,
483,873,"9780060875077",2006-10-17,330,,eng,
484,606,"9780060878825",2007-02-27,434,,eng,
485,906,"9780060880125",2006-08-31,288,,eng,
486,873,"9780060882037",2006-02-28,314,,eng,
487,882,"9780060882600",2006-10-31,320,,eng,
488,882,"9780060882617",2006-10-31,192,,en-US,
489,160,"9780060882624",2006-12-26,359,,eng,
490,882,"9780060882815",2006-10-31,32,,eng,
491,877,"9780060882860",2006-03-14,255,,eng,
492,1038,"9780060884055",2006-09-26,128,,en-US,
493,909,"9780060885373",2007-01-01,198,,eng,
494,909,"9780060885380",2007-01-01,357,,eng,
495,909,"9780060885397",2007-01-01,309,,eng,
496,909,"9780060885427",2007-01-01,422,,eng,
497,909,"9780060885434",2007-01-01,374,,eng,
498,909,"9780060885458",2007-01-02,126,,eng,
499,882,"9780060885526",2007-01-02,256,,eng,
500,1066,"9780060885731",2006-12-12,24,,eng,
501,898,"9780060887964",2006-05-02,192,,eng,
502,340,"9780060888695",2006-08-22,11,,eng,
503,906,"9780060890315",2006-10-01,325,,eng,
504,898,"9780060890391",2006-12-26,288,,eng,
505,160,"9780060891565",2006-08-29,304,,eng,
506,873,"9780060894085",2006-05-30,344,,eng,
507,877,"9780060898526",2006-09-05,123,,eng,
508,864,"9780060898656",2006-08-29,336,,eng,
509,340,"9780060898717",2006-05-23,9,,en-US,
510,907,"9780060898724",2008-07-01,512,,spa,
511,609,"9780060899226",2007-01-09,312,,eng,
512,2210,"9780060906825",1979-07-25,256,,en-US,
513,873,"9780060913076",2006-10-17,152,,eng,
514,873,"9780060915186",2013-10-15,255,,eng,
515,873,"9780060915438",1998-12-30,76,,eng,
516,898,"9780060916091",1989-10-11,258,,eng,
517,2210,"9780060916466",1989-01-01,255,,eng,
518,882,"9780060916497",1990-02-28,311,,eng,
519,82,"9780060916510",1990-01-22,229,,eng,
520,2210,"9780060920081",1990-08-28,299,,eng,
521,873,"9780060920647",1990-11-21,617,,en-US,
522,873,"9780060921088",1991-10-23,341,,eng,
523,82,"9780060921712",1996-01-05,336,,eng,
524,2210,"9780060922559",2011-11-29,320,,eng,
525,873,"9780060923310",2008-12-23,592,,en-US,
526,873,"9780060924980",1994-03-04,384,,eng,
527,873,"9780060925758",2013-12-13,288,,eng,
528,873,"9780060925772",2007-12-26,256,,eng,
529,873,"9780060925819",1995-01-01,368,,eng,
530,873,"9780060926960",1996-01-01,225,,eng,
531,873,"9780060927196",1996-04-26,192,,en-US,
532,873,"9780060927516",1996-08-02,288,,eng,
533,873,"9780060927547",2003-12-23,256,,eng,
534,873,"9780060928414",1997-04-11,156,,eng,
535,873,"9780060928698",2003-06-17,368,,eng,
536,873,"9780060928773",1998-02-11,288,,eng,
537,873,"9780060929596",2001-02-20,320,,eng,
538,873,"9780060929602",1999-12-22,288,,eng,
539,901,"9780060929879",1998-09-01,288,,eng,
540,873,"9780060930059",1998-08-05,711,,eng,
541,898,"9780060930134",2000-04-26,256,,en-US,
542,873,"9780060930172",1999-04-07,320,,eng,
543,877,"9780060930219",2005-07-05,547,,eng,
544,873,"9780060930318",1999-04-21,168,,eng,
545,873,"9780060930530",1999-10-01,546,,eng,
546,873,"9780060930868",1999-01-27,758,,eng,
547,873,"9780060931360",2000-08-01,320,,eng,
548,877,"9780060931407",1999-02-03,640,,eng,
549,873,"9780060931674",1999-04-01,152,,eng,
550,1510,"9780060931803",2002-07-30,329,,eng,
551,873,"9780060931957",1999-06-01,374,,eng,
552,877,"9780060932664",2008-01-08,288,,eng,
553,877,"9780060932688",2008-05-13,352,,eng,
554,900,"9780060933159",1999-11-03,697,,eng,
555,900,"9780060933166",1999-11-03,658,,eng,
556,873,"9780060933524",2002-05-07,400,,eng,
557,606,"9780060934347",2005-04-26,940,,eng,
558,873,"9780060934439",2002-05-28,338,,eng,
559,82,"9780060934545",2002-10-01,320,,eng,
560,873,"9780060934637",2001-12-04,576,,en-US,
561,543,"9780060934729",2003-04-15,336,,eng,
562,873,"9780060934736",2001-12-04,512,,en-US,
563,606,"9780060934903",2002-10-01,480,,eng,
564,608,"9780060934910",2001-05-01,302,,eng,
565,900,"9780060935450",2001-05-15,479,,eng,
566,877,"9780060935467",2005-07-05,323,,eng,
